	 	No_Result
4	No_Result
6	No_Result
7	No_Result
1	13.89	DNA/RNA/Protein/Metabolic NoDivision
5	10.08	Non Essential Divided
8	13.89	DNA/RNA/Protein/Metabolic NoDivision
3	13.89	DNA/RNA/Protein/Metabolic NoDivision
2	8.836	Non Essential Divided
4 6	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 7	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 1	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 5	12.92	Non Essential Divided
4 8	9.035	Non Essential Divided
4 3	8.805	Non Essential Divided
4 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
6 7	13.89	DNA/RNA/Protein/Metabolic NoDivision
6 1	13.89	DNA/RNA/Protein/Metabolic NoDivision
6 5	10.83	Non Essential Divided
6 8	13.84	Non Essential Divided
6 3	13.89	DNA/RNA/Protein/Metabolic NoDivision
6 2	11.61	Non Essential Divided
7 1	13.89	DNA/RNA/Protein/Metabolic NoDivision
7 5	13.89	DNA/RNA/Protein/Metabolic NoDivision
7 8	13.89	DNA/RNA/Protein/Metabolic NoDivision
7 3	13.89	DNA/RNA/Protein/Metabolic NoDivision
7 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
1 5	13.89	DNA/RNA/Protein/Metabolic NoDivision
1 8	13.89	DNA/RNA/Protein/Metabolic NoDivision
1 3	13.89	DNA/RNA/Protein/Metabolic NoDivision
1 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
5 8	8.931	Non Essential Divided
5 3	10.57	Non Essential Divided
5 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
8 3	10.96	Non Essential Divided
8 2	11.9	Non Essential Divided
3 2	10.97	Non Essential Divided
4 6 7	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 6 1	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 6 5	9.531	Non Essential Divided
4 6 8	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 6 3	8.682	Non Essential Divided
4 6 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 7 1	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 7 5	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 7 8	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 7 3	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 7 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 1 5	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 1 8	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 1 3	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 1 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 5 8	8.414	Non Essential Divided
4 5 3	10.1	Non Essential Divided
4 5 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 8 3	9.256	Non Essential Divided
4 8 2	10.75	Non Essential Divided
4 3 2	12.98	Non Essential Divided
6 7 1	13.89	DNA/RNA/Protein/Metabolic NoDivision
6 7 5	13.89	DNA/RNA/Protein/Metabolic NoDivision
6 7 8	13.89	DNA/RNA/Protein/Metabolic NoDivision
6 7 3	13.89	DNA/RNA/Protein/Metabolic NoDivision
6 7 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
6 1 5	13.89	DNA/RNA/Protein/Metabolic NoDivision
6 1 8	13.89	DNA/RNA/Protein/Metabolic NoDivision
6 1 3	No_Result
6 1 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
6 5 8	9.472	Non Essential Divided
6 5 3	13.89	DNA/RNA/Protein/Metabolic NoDivision
6 5 2	13.14	Non Essential Divided
6 8 3	9.992	Non Essential Divided
