	 	No_Result
4 7 1 5	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 7 1 8	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 7 1 3	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 7 1 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 7 5 8	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 7 5 3	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 7 5 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 7 8 3	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 7 8 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 7 3 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 1 5 8	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 1 5 3	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 1 5 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 1 8 3	8.99	Non Essential Divided
4 1 8 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 1 3 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 5 8 3	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 5 8 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 5 3 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 8 3 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
6 7 1 5	13.89	DNA/RNA/Protein/Metabolic NoDivision
6 7 1 8	13.89	DNA/RNA/Protein/Metabolic NoDivision
6 7 1 3	13.89	DNA/RNA/Protein/Metabolic NoDivision
6 7 1 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
6 7 5 8	13.89	DNA/RNA/Protein/Metabolic NoDivision
6 7 5 3	13.89	DNA/RNA/Protein/Metabolic NoDivision
6 7 5 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
6 7 8 3	13.89	DNA/RNA/Protein/Metabolic NoDivision
6 7 8 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
6 7 3 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
6 1 5 8	10.9	Non Essential Divided
6 1 5 3	13.89	DNA/RNA/Protein/Metabolic NoDivision
6 1 5 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
6 1 8 3	13.43	Non Essential Divided
6 1 8 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
6 1 3 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
6 5 8 3	11.61	Non Essential Divided
6 5 8 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
6 5 3 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
6 8 3 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
7 1 5 8	13.89	DNA/RNA/Protein/Metabolic NoDivision
7 1 5 3	13.89	DNA/RNA/Protein/Metabolic NoDivision
7 1 5 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
7 1 8 3	13.89	DNA/RNA/Protein/Metabolic NoDivision
7 1 8 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
7 1 3 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
7 5 8 3	13.89	DNA/RNA/Protein/Metabolic NoDivision
7 5 8 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
7 5 3 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
7 8 3 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
1 5 8 3	13.57	Non Essential Divided
1 5 8 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
1 5 3 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
1 8 3 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
5 8 3 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 6 7 1 5	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 6 7 1 8	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 6 7 1 3	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 6 7 1 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 6 7 5 8	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 6 7 5 3	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 6 7 5 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 6 7 8 3	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 6 7 8 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 6 7 3 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 6 1 5 8	12.19	Non Essential Divided
4 6 1 5 3	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 6 1 5 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 6 1 8 3	9.558	Non Essential Divided
4 6 1 8 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 6 1 3 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 6 5 8 3	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 6 5 8 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 6 5 3 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 6 8 3 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 7 1 5 8	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 7 1 5 3	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 7 1 5 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 7 1 8 3	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 7 1 8 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 7 1 3 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 7 5 8 3	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 7 5 8 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 7 5 3 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 7 8 3 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 1 5 8 3	9.955	Non Essential Divided
4 1 5 8 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 1 5 3 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 1 8 3 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 5 8 3 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
6 7 1 5 8	13.89	DNA/RNA/Protein/Metabolic NoDivision
6 7 1 5 3	13.89	DNA/RNA/Protein/Metabolic NoDivision
6 7 1 5 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
6 7 1 8 3	13.89	DNA/RNA/Protein/Metabolic NoDivision
6 7 1 8 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
6 7 1 3 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
6 7 5 8 3	13.89	DNA/RNA/Protein/Metabolic NoDivision
6 7 5 8 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
6 7 5 3 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
6 7 8 3 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
6 1 5 8 3	13.89	DNA/RNA/Protein/Metabolic NoDivision
6 1 5 8 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
6 1 5 3 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
6 1 8 3 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
6 5 8 3 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
7 1 5 8 3	13.89	DNA/RNA/Protein/Metabolic NoDivision
7 1 5 8 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
7 1 5 3 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
7 1 8 3 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
7 5 8 3 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
1 5 8 3 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 6 7 1 5 8	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 6 7 1 5 3	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 6 7 1 5 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 6 7 1 8 3	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 6 7 1 8 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 6 7 1 3 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 6 7 5 8 3	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 6 7 5 8 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 6 7 5 3 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
